,PlaceCode,PlaceName,PlaceScore,PlaceFromPrice,PlaceProvince,PlaceCity,PlaceNeighborhood,PlaceM2,PlaceRooms,PlaceCapacity,PlaceBuildingType,PlaceRentalType,PlaceSecurityType,PlaceExtraPersonCost
0,57024,دوبلکس دربست آریا استخر آبگرم سرپوشیده چهارفصل,4.72,"3,500,000",گیلان,تالش, گیسوم کیشه خاله,200,3,6 ,ویلایی ,دربست,,"300,000"
1,7046,ویلا تازه ساخت باتمام امکانات,4.86,"1,000,000",گیلان,تالش,,90,2,5 ,ویلایی ,دربست,,"100,000"
2,53231,سوئیت کادوس روستای سراگاه,4.67,"600,000",گیلان,تالش, روستای سراگاه,50, بدون اتاق,3 ,ویلایی ,دربست,,"100,000"
3,67506,ویلا نقلی در دل جنگل‌های گیسوم,5,"630,000",گیلان,تالش, روستای سیاه بیل,100,1,2 ,ویلایی ,غیردربست,,"85,000"
4,60619,ویلا تک خوابه حیا‌ط‌دار، اسالم,4.75,"790,000",گیلان,تالش, اسالم,90,1,4 ,آپارتمان ,دربست,بدون سرایدار/نگهبان,"150,000"
5,65534,ویلای ساحلی دوبلکس,4.95,"2,000,000",گیلان,تالش, لیسار,220,2,4 ,ویلایی ,دربست,,"250,000"
6,45752,ویلا چوبی اردیبهشت(لوکس),5,"1,000,000",گیلان,تالش, اسالم,110,3,4 ,ویلایی ,دربست,,"150,000"
7,71160,ویلای دوخوابه با امکانات رفاهی کامل,5,"700,000",گیلان,تالش, لیسار,120,2,3 ,ویلایی ,غیردربست,,"100,000"
8,62189,ویلا لب ساحل و در نزدیکی دریا,4.74,"500,000",گیلان,تالش, لیسار,65,1,4 ,ویلایی ,دربست,,"60,000"
9,34308,"ویلا جنگلی لب رودخونه در گیسوم
",4.67,"1,150,000",گیلان,تالش, گیسوم,80,2,4 ,ویلایی ,دربست,بدون سرایدار/نگهبان,"100,000"
10,72989,اقامتگاه دربست با چشم‌اندازی زیبا در روستای کیشون بن,5,"700,000",گیلان,تالش, روستای کیشون بن,70,1,4 ,ویلایی ,دربست,,"100,000"
11,45529,ویلا دربستی گتک سرا,4.76,"750,000",گیلان,تالش, گتگسرا,120,2,5 ,ویلایی ,دربست,,"50,000"
12,67447,کلبه چوبی تریپلکس دو خوابه با ویو بی‌نظیر,5,"1,500,000",گیلان,تالش, اسالم,150,2,6 ,ویلایی ,غیردربست,,"200,000"
13,68671,ویلای تک خواب با امکانات رفاهی,4.83,"789,000",گیلان,تالش, لیسار,130,1,4 ,ویلایی ,غیردربست,,"70,000"
14,47365,ویلا دربستی کنار رودخانه گیسوم,4.85,"1,150,000",گیلان,تالش, گیسوم گتگسر,120,2,4 ,ویلایی ,دربست,,"50,000"
15,74398,خانه ویلایی در تالش,5,"1,200,000",گیلان,تالش, خرجگیل,155,2,6 ,ویلایی ,غیردربست,,"100,000"
16,61440,واحد مبله‌ی 140 متری (نزدیک به ساحل),5,"800,000",گیلان,تالش,,140,2,6 ,ویلایی ,دربست,,"100,000"
17,56907,واحد مبله و تمیز با حیاط دربست,5,"1,500,000",گیلان,تالش,,140,2,7 ,ویلایی ,غیردربست,,"350,000"
18,1761,ویلای سه خوابه استخردار سرپوشیده در تالش,4.83,"2,500,000",گیلان,تالش, رهنما محله,160,3,6 ,ویلایی ,دربست,بدون سرایدار/نگهبان,"500,000"
19,73072,سوییت ساحلی نقلی تمیز نزدیک دریا,4.83,"350,000",گیلان,تالش, اسالم,50, بدون اتاق,2 ,ویلایی ,غیردربست,,"80,000"
